record_num,date,month,day,year,barangay,location,latitude,longitude,flood_depth,weather_disturbance,remarks,time_reported,time_subsided
6,2023-05-20,5.0,20.0,2023,,Compound Phase 3 Aratiles St.,14.47297956,120.9979914,gutter,Thunderstorm,Subsided as of 1400H,,
7,2023-05-20,,,2023,,Olivarez Compound,14.47673239,120.9922703,gutter,Thunderstorm,Subsided as of 1300H Subsided as,,
8,2023-05-20,,,2023,,Pitong Gatang,14.49254087,120.9897297,knee,Thunderstorm,120.9897297 of 1300H Subsided as,,
9,2023-05-20,,,2023,,Hidden Village San Antonio,14.47142042,121.0110769,waist,Thunderstorm,121.0110769 of 1030H Subsided as,,
10,2023-05-20,,,2023,,Valley 2,14.4697662,121.0071013,knee,Thunderstorm,121.0071013 of 1230H Subsided as,,
11,2023-05-20,,,2023,San Isidro,Top Land,14.47139324,120.9990969,knee,Thunderstorm,120.9990969 of 1230H Subsided as,,
12,2023-05-20,,,2023,,Garden City 1 Greenheights,14.47493903,121.0122091,gutter,Thunderstorm,121.0122091 of 1300H Subsided as,,
13,2023-05-20,,,2023,,Subdivision,14.46761195,121.0141183,knee,Thunderstorm,121.0141183 of 1300H Subsided as,,
14,2023-05-20,,,2023,Sto Niño,Pascor Drive,14.50845386,120.9982638,knee,Thunderstorm,120.9982638 of 1030H Subsided as,,
15,2023-05-20,,,2023,,Johan St.,14.50796613,120.999567,knee,Thunderstorm,120.999567 of 1030H Subsided as,,
16,2023-05-20,,,2023,Don Bosco,El Dorado Dulo Fourth Estate,14.4811838,121.0215527,knee,Thunderstorm,121.0215527 of 1230H Subsided as,,
17,2023-05-20,,,2023,,(North Bound),14.46104748,121.0274228,knee,Thunderstorm,121.0274228 of 1100H Subsided as,,
18,2023-05-20,,,2023,,Area 2 San Antonio,14.46354921,121.0316895,knee,Thunderstorm,121.0316895 of 1100H Subsided as,,
19,2023-05-20,,,2023,San Antonio,Valley 1 Stoplight San Antonio,14.46505509,121.0198629,gutter,Thunderstorm,of 1030H Subsided as,,
20,2023-05-20,,,2023,,Valley 3,14.47382233,121.0248753,knee,Thunderstorm,121.0248753 of 1100H Subsided as,,
21,2023-05-20,,,2023,,Susafe St Sun Valley,14.47192745,121.0200041,knee,Thunderstorm,121.0200041 of 1230H Subsided as,,
22,2023-05-20,,,2023,Sun Valley,Subdivision,14.49114515,121.0386929,knee,Thunderstorm,121.0386929 of 1030H Subsided as,,
23,2023-05-20,,,2023,,Culdesac,14.49313255,121.0362397,knee,Thunderstorm,121.0362397 of 1030H,,
24,2023-05-20,,,2023,,Bernabe Phase 3,14.47297956,120.9979914,knee,MONSOON/TYPHOON BETTY,Subsided as of 2021H,,
25,2023-05-20,,,2023,San Dionisio,Canaynay Ave.,14.47510689,121.0011236,gutter,MONSOON/TYPHOON BETTY,Subsided as of 1730H,,
26,2023-05-20,,,2023,,PNHS Main,14.47873163,120.9982858,knee,MONSOON/TYPHOON BETTY,Subsided as of 1735H,,
27,2023-05-20,,,2023,San Isidro,Top Land,14.47139324,120.9990969,knee,MONSOON/TYPHOON BETTY,Subsided as of 1734H,,
28,2023-05-20,,,2023,Sto Niño,Halik Alon,14.49751656,121.0028845,knee,MONSOON/TYPHOON BETTY,Subsided as of 1740H,,
29,2023-05-20,,,2023,,Doña Soledad Extension,14.48581131,121.0282639,knee,MONSOON/TYPHOON BETTY,Subsided as of 1740H,,
30,2023-05-20,,,2023,,El Dorado Dulo Lancris,14.48040695,121.0212885,knee,MONSOON/TYPHOON BETTY,Subsided as of 1740H,,
31,2023-05-20,,,2023,Don Bosco,Residences,14.47562421,121.0269867,gutter,MONSOON/TYPHOON BETTY,Subsided as of 1730H,,
32,2023-05-20,,,2023,,India Street,14.48064647,121.0309432,gutter,MONSOON/TYPHOON BETTY,Subsided as of 1730H,,
33,2023-05-20,,,2023,,Santos Extension,14.49253065,121.0104106,gutter,MONSOON/TYPHOON BETTY,Subsided as of 1740H,,
34,2023-05-20,,,2023,Green,Ilang-Ilang Street Sampaguita,14.46176407,121.0428821,gutter,MONSOON/TYPHOON BETTY,Subsided as of 1737H,,
35,2023-05-20,,,2023,,Street Fourth Estate,14.46983638,121.0375532,knee,MONSOON/TYPHOON BETTY,Subsided as of 1737H,,
36,2023-05-20,,,2023,,(North Bound) Fourth Estate,14.46104748,121.0274228,knee,MONSOON/TYPHOON BETTY,Subsided as of 1737H,,
37,2023-05-20,,,2023,San Antonio,(South Bound),14.46101814,121.0273447,gutter,MONSOON/TYPHOON BETTY,Subsided as of 1730H,,
38,2023-05-20,,,2023,,Lower Barangay,14.46947844,121.0240903,knee,MONSOON/TYPHOON BETTY,121.0240903 - Subsided as,,
39,2023-05-20,,,2023,,Bagong Ilog Roax BLVD cor.,14.53154406,120.997831,gutter,Thunderstorm,120.997831 of 2334H Subsided as,,
40,2023-05-20,,,2023,Baclaran,NAIA Rd.,14.51761763,120.9931615,waist,Thunderstorm,120.9931615 of 0021H Subsided as,,
